Starting up run ID 5D58BD, poll time is 5m, back testing is True
Starting up run ID D38945, poll time is 5m, back testing is True
Starting up run ID 25C059, poll time is 5m, back testing is True
Starting up run ID C69DC6, poll time is 5m, back testing is True
Starting up run ID D240F8, poll time is 5m, back testing is True
Starting up run ID 15C73D, poll time is 5m, back testing is True
Starting up run ID 2FDD18, poll time is 5m, back testing is True
Starting up run ID 8E854A, poll time is 5m, back testing is True
Starting up run ID B5E1E0, poll time is 5m, back testing is True
Starting up run ID 99EEB7, poll time is 5m, back testing is True
Starting up run ID AB202A, poll time is 5m, back testing is True
Starting up run ID D019E9, poll time is 5m, back testing is True
Starting up run ID 254810, poll time is 5m, back testing is True
Starting up run ID 49BA7F, poll time is 5m, back testing is True
Starting up run ID D815AC, poll time is 5m, back testing is True
Starting up run ID E2D832, poll time is 5m, back testing is True
Starting up run ID F91DBC, poll time is 5m, back testing is True
Starting up run ID F830F4, poll time is 5m, back testing is True
Starting up run ID 6A85A1, poll time is 5m, back testing is True
Starting up run ID 9C374D, poll time is 5m, back testing is True
Starting up run ID 72B8E2, poll time is 5m, back testing is False
Finished analysing 2022-05-25 21:25:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 21:30:00+00:00, sleeping for 289.0s
Finished analysing 2022-05-25 21:35:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 21:40:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 21:45:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-25 21:50:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 21:55:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 22:00:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 22:05:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 22:10:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-25 22:15:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 22:20:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-25 22:25:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-25 22:30:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 22:35:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 22:40:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-25 22:45:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 22:50:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 22:55:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 23:00:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 23:05:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 23:10:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-25 23:15:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 23:20:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-25 23:25:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-25 23:30:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-25 23:35:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-25 23:40:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-25 23:45:00+00:00, sleeping for 286.0s
Starting up run ID 3ABEB8: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-25 23:50:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-25 23:55:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-26 00:00:00+00:00, sleeping for 282.0s
Finished analysing 2022-05-26 00:05:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-26 00:10:00+00:00, sleeping for 281.0s
Starting up run ID 8B08AB: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 34DB26: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 0B10C3: interval=5m, back_testing=False, real_money_trading=False
Finished analysing 2022-05-26 00:20:00+00:00, sleeping for 303.0s
Finished analysing 2022-05-26 00:25:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-26 00:30:00+00:00, sleeping for 271.0s
Finished analysing 2022-05-26 00:35:00+00:00, sleeping for 272.0s
Finished analysing 2022-05-26 00:40:00+00:00, sleeping for 268.0s
Finished analysing 2022-05-26 00:45:00+00:00, sleeping for 283.0s
Finished analysing 2022-05-26 00:50:00+00:00, sleeping for 275.0s
Starting up run ID E906E1: interval=5m, back_testing=False, real_money_trading=False
Starting up run ID 8E9FB0: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-26 01:05:00+00:00, sleeping for 337.0s
Finished analysing 2022-05-26 01:10:00+00:00, sleeping for 284.0s
Finished analysing 2022-05-26 01:15:00+00:00, sleeping for 268.0s
Finished analysing 2022-05-26 01:20:00+00:00, sleeping for 273.0s
Finished analysing 2022-05-26 01:25:00+00:00, sleeping for 275.0s
Finished analysing 2022-05-26 01:30:00+00:00, sleeping for 273.0s
Starting up run ID F08CEA: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 4B5793: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID FACBFC: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 084463: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 8A2153: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 4DF9CE: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID AADB21: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID C59270: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 414F4E: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID D4D831: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 2EB678: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID F0D514: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 407630: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID B09241: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID FF1083: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID C64FBD: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 79638C: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 176FBF: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 795FD6: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 67C813: interval=5m, back_testing=False, real_money_trading=False
Finished analysing 2022-05-26 11:40:00+00:00, sleeping for 234.0s
Starting up run ID 789142: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 193BFB: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID 47C812: interval=5m, back_testing=False, real_money_trading=True
Starting up run ID 4026E4: interval=5m, back_testing=False, real_money_trading=True
Starting up run ID EFCD73: interval=5m, back_testing=False, real_money_trading=True
Finished analysing 2022-05-26 12:45:00+00:00, sleeping for 385.0s
Starting up run ID 6F1C9E: interval=5m, back_testing=False, real_money_trading=True
Starting up run ID BE622C: interval=5m, back_testing=False, real_money_trading=True
Starting up run ID 2136B3: interval=5m, back_testing=False, real_money_trading=True
Starting up run ID 0206C9: interval=5m, back_testing=False, real_money_trading=True
Finished analysing 2022-05-26 13:10:00+00:00, sleeping for 270.0s
Starting up run ID E91452: interval=5m, back_testing=False, real_money_trading=True
Starting up run ID 18A688: interval=5m, back_testing=False, real_money_trading=True
Finished analysing 2022-05-26 13:35:00+00:00, sleeping for 90.0s
Finished analysing 2022-05-26 13:40:00+00:00, sleeping for 280.0s
Finished analysing 2022-05-26 13:45:00+00:00, sleeping for 279.0s
Starting up run ID AE76A5: interval=5m, back_testing=False, real_money_trading=False
Finished analysing 2022-05-26 13:50:00+00:00, sleeping for 280.0s
Finished analysing 2022-05-26 13:50:00+00:00, sleeping for 225.0s
Starting up run ID 67A6C5: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-26 13:55:00+00:00, sleeping for 281.0s
Finished analysing 2022-05-26 14:00:00+00:00, sleeping for 283.0s
Finished analysing 2022-05-26 14:05:00+00:00, sleeping for 285.0s
Starting up run ID 038D73: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-26 14:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 14:15:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 14:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 14:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 14:30:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 14:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 14:40:00+00:00, sleeping for 293.0s
